18 12 46.84428,-24 21 38.4481,0.727107907,-4.4
18 14 31.21661,-24 22 25.6959,0.727129216,-4.4
18 16 15.60348,-24 23 8.4735,0.727150342,-4.4
18 18 0.00291,-24 23 46.7784,0.727171282,-4.4
18 19 44.41292,-24 24 20.6084,0.727192035,-4.4
18 21 28.83150,-24 24 49.9618,0.727212602,-4.4
18 23 13.25666,-24 25 14.8371,0.72723298,-4.4
18 24 57.68640,-24 25 35.2330,0.727253169,-4.4
18 26 42.11872,-24 25 51.1488,0.727273168,-4.4
18 28 26.55160,-24 26 2.5839,0.727292975,-4.4
18 30 10.98306,-24 26 9.5383,0.727312591,-4.4
18 31 55.41108,-24 26 12.0121,0.727332013,-4.4
18 33 39.83365,-24 26 10.0058,0.727351242,-4.4
18 35 24.24878,-24 26 3.5204,0.727370276,-4.4
18 37 8.65445,-24 25 52.5569,0.727389114,-4.4
18 38 53.04867,-24 25 37.1170,0.727407756,-4.4
18 40 37.42944,-24 25 17.2025,0.7274262,-4.4
18 42 21.79476,-24 24 52.8157,0.727444445,-4.4
18 44 6.14265,-24 24 23.9590,0.727462492,-4.4
18 45 50.47111,-24 23 50.6354,0.727480338,-4.4
18 47 34.77817,-24 23 12.8481,0.727497984,-4.4
18 49 19.06186,-24 22 30.6005,0.727515427,-4.4
18 51 3.32019,-24 21 43.8967,0.727532668,-4.4
18 52 47.55121,-24 20 52.7407,0.727549706,-4.4
18 54 31.75297,-24 19 57.1372,0.727566539,-4.4
18 56 15.92352,-24 18 57.0910,0.727583168,-4.4
18 58 0.06093,-24 17 52.6073,0.72759959,-4.4
18 59 44.16326,-24 16 43.6916,0.727615806,-4.4
19 1 28.22859,-24 15 30.3497,0.727631815,-4.4
19 3 12.25503,-24 14 12.5878,0.727647615,-4.4
19 4 56.24067,-24 12 50.4124,0.727663207,-4.4
19 6 40.18363,-24 11 23.8303,0.727678589,-4.4
19 8 24.08204,-24 9 52.8486,0.727693761,-4.4
19 10 7.93404,-24 8 17.4748,0.727708721,-4.4
19 11 51.73778,-24 6 37.7165,0.72772347,-4.4
19 13 35.49143,-24 4 53.5819,0.727738007,-4.4
19 15 19.19318,-24 3 5.0793,0.72775233,-4.4
19 17 2.84121,-24 1 12.2174,0.727766439,-4.4
19 18 46.43374,-23 59 15.0052,0.727780334,-4.4
19 20 29.96901,-23 57 13.4519,0.727794014,-4.4
19 22 13.44525,-23 55 7.5672,0.727807478,-4.4
19 23 56.86072,-23 52 57.3609,0.727820726,-4.4
19 25 40.21371,-23 50 42.8431,0.727833757,-4.4
19 27 23.50251,-23 48 24.0245,0.727846569,-4.4
19 29 6.72544,-23 46 0.9156,0.727859164,-4.4
19 30 49.88083,-23 43 33.5277,0.72787154,-4.4
19 32 32.96703,-23 41 1.8719,0.727883696,-4.4
19 34 15.98242,-23 38 25.9600,0.727895632,-4.4
19 35 58.92539,-23 35 45.8037,0.727907348,-4.4
19 37 41.79434,-23 33 1.4154,0.727918842,-4.4
19 39 24.58772,-23 30 12.8073,0.727930115,-4.4
19 41 7.30398,-23 27 19.9923,0.727941166,-4.4
19 42 49.94159,-23 24 22.9834,0.727951993,-4.4
19 44 32.49906,-23 21 21.7936,0.727962598,-4.4
19 46 14.97490,-23 18 16.4367,0.727972979,-4.4
19 47 57.36765,-23 15 6.9263,0.727983135,-4.4
19 49 39.67588,-23 11 53.2764,0.727993067,-4.4
19 51 21.89818,-23 8 35.5014,0.728002773,-4.4
19 53 4.03317,-23 5 13.6157,0.728012254,-4.4
19 54 46.07947,-23 1 47.6341,0.728021509,-4.4
19 56 28.03575,-22 58 17.5717,0.728030537,-4.4
19 58 9.90069,-22 54 43.4436,0.728039338,-4.4
19 59 51.67300,-22 51 5.2654,0.728047912,-4.4
20 1 33.35142,-22 47 23.0527,0.728056257,-4.4
20 3 14.93470,-22 43 36.8216,0.728064375,-4.4
20 4 56.42163,-22 39 46.5881,0.728072264,-4.4
20 6 37.81102,-22 35 52.3687,0.728079924,-4.4
20 8 19.10171,-22 31 54.1799,0.728087355,-4.4
20 10 0.29255,-22 27 52.0387,0.728094556,-4.4
20 11 41.38243,-22 23 45.9620,0.728101527,-4.4
20 13 22.37027,-22 19 35.9670,0.728108268,-4.4
20 15 3.25500,-22 15 22.0713,0.728114778,-4.4
20 16 44.03560,-22 11 4.2925,0.728121057,-4.4
20 18 24.71106,-22 6 42.6483,0.728127104,-4.4
20 20 5.28039,-22 2 17.1569,0.72813292,-4.4
20 21 45.74265,-21 57 47.8364,0.728138505,-4.4
20 23 26.09691,-21 53 14.7054,0.728143857,-4.4
20 25 6.34226,-21 48 37.7823,0.728148976,-4.4
20 26 46.47785,-21 43 57.0860,0.728153864,-4.4
20 28 26.50282,-21 39 12.6354,0.728158518,-4.4
20 30 6.41636,-21 34 24.4496,0.728162939,-4.4
20 31 46.21767,-21 29 32.5479,0.728167127,-4.4
20 33 25.90600,-21 24 36.9499,0.728171081,-4.4
20 35 5.48062,-21 19 37.6751,0.728174802,-4.4
20 36 44.94080,-21 14 34.7432,0.728178289,-4.4
20 38 24.28588,-21 9 28.1743,0.728181542,-4.4
20 40 3.51521,-21 4 17.9884,0.72818456,-4.4
20 41 42.62815,-20 59 4.2057,0.728187345,-4.4
20 43 21.62411,-20 53 46.8467,0.728189895,-4.4
20 45 0.50252,-20 48 25.9318,0.72819221,-4.4
20 46 39.26284,-20 43 1.4817,0.72819429,-4.4
20 48 17.90455,-20 37 33.5172,0.728196136,-4.4
20 49 56.42717,-20 32 2.0592,0.728197747,-4.4
20 51 34.83023,-20 26 27.1288,0.728199123,-4.4
20 53 13.11330,-20 20 48.7472,0.728200264,-4.4
20 54 51.27597,-20 15 6.9356,0.72820117,-4.4
20 56 29.31787,-20 9 21.7155,0.72820184,-4.4
20 58 7.23864,-20 3 33.1084,0.728202276,-4.4
20 59 45.03795,-19 57 41.1359,0.728202476,-4.4
21 1 22.71552,-19 51 45.8198,0.728202441,-4.4
21 3 0.27106,-19 45 47.1819,0.728202171,-4.4
21 4 37.70433,-19 39 45.2443,0.728201665,-4.4
21 6 15.01511,-19 33 40.0289,0.728200925,-4.4
21 7 52.20320,-19 27 31.5580,0.728199949,-4.4
21 9 29.26844,-19 21 19.8537,0.728198738,-4.4
21 11 6.21069,-19 15 4.9384,0.728197292,-4.4
21 12 43.02984,-19 8 46.8346,0.728195611,-4.4
21 14 19.72578,-19 2 25.5647,0.728193696,-4.4
21 15 56.29846,-18 56 1.1513,0.728191545,-4.4
21 17 32.74784,-18 49 33.6171,0.72818916,-4.4
21 19 9.07391,-18 43 2.9849,0.728186539,-4.4
21 20 45.27667,-18 36 29.2775,0.728183685,-4.4
21 22 21.35616,-18 29 52.5177,0.728180596,-4.4
21 23 57.31244,-18 23 12.7286,0.728177273,-4.4
21 25 33.14560,-18 16 29.9331,0.728173716,-4.4
21 27 8.85574,-18 9 44.1543,0.728169924,-4.4
21 28 44.44300,-18 2 55.4154,0.728165899,-4.4
21 30 19.90753,-17 56 3.7396,0.728161641,-4.4
21 31 55.24952,-17 49 9.1501,0.728157149,-4.4
21 33 30.46916,-17 42 11.6703,0.728152424,-4.4
21 35 5.56669,-17 35 11.3235,0.728147466,-4.4
21 36 40.54235,-17 28 8.1332,0.728142275,-4.4
21 38 15.39641,-17 21 2.1227,0.728136852,-4.4
21 39 50.12918,-17 13 53.3157,0.728131197,-4.4
21 41 24.74097,-17 6 41.7356,0.72812531,-4.4
21 42 59.23211,-16 59 27.4060,0.728119191,-4.4
21 44 33.60298,-16 52 10.3506,0.72811284,-4.4
21 46 7.85394,-16 44 50.5929,0.728106259,-4.4
21 47 41.98541,-16 37 28.1568,0.728099446,-4.4
21 49 15.99781,-16 30 3.0659,0.728092403,-4.4
21 50 49.89159,-16 22 35.3439,0.72808513,-4.4
21 52 23.66721,-16 15 5.0147,0.728077628,-4.4
21 53 57.32516,-16 7 32.1020,0.728069895,-4.4
21 55 30.86595,-15 59 56.6297,0.728061934,-4.4
21 57 4.29011,-15 52 18.6217,0.728053744,-4.4
